function_name,script_file_name,module_family,function_visibility,line_number,functional_role,migration_priority,python_target_package,safe_migration_mode
MVPQAIC_PromptRuntimeCatalogStatus,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,3390,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_PromptRuntimeCatalogSyncToLibrarySafe,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,3394,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
workflowSheetsOptimize,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3452,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
draftApplyApprovedToLibrary,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3473,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
promptLibraryRestoreOriginalReferencesSafe,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3542,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
originalPromptReferenceRecords_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3633,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
buildCanonicalOriginalPromptTemplate_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3671,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
promptMissionForOriginalPrompt_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3733,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
normalizePrompt_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3742,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
findPromptReferenceRow_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3746,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
appendCanonicalPromptReference_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3760,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
appendRecoveredPromptVariant_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3803,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
ensureQueueColumn_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3848,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
fillQueueAiRuntimeNames_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3857,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
fillLibraryAiRuntimeNamesAndCleanup_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3876,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
inferLibraryCleanupAction_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3908,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
buildAiRuntimeLookup_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3922,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
readAiRuntimeNameFromJournal_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3951,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
optimizeQueueSheet_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,3966,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
optimizeLibrarySheet_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4010,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
ensurePromptLibraryVersionArchitecture_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4056,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
appendPromptVariantFromApprovedDraft_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4082,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
basePromptIdFromPromptId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4128,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
nextPromptVariantVersion_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4135,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
buildVariantPromptId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4139,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
getCellByHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4146,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
applyLibraryStatusColumnColors_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4150,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
findApprovedDraftCandidate_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4176,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
findLibraryPromptRow_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4200,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
focusLibraryPrompt_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4212,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
emphasizeAdaptiveDraftRows_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4221,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
reorderSheetByHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4236,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
inferSourceHeadersForRemap_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4283,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
isQueuePriorityHeaderSet_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4295,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
isLibraryPriorityHeaderSet_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4299,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
firstNonBlankDataRow_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4303,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
queueLooksHeaderOnlyReordered_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4308,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
libraryLooksHeaderOnlyReordered_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4321,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
hasDuplicateAdaptiveHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4331,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
firstIndexMap_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4342,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
uniqueHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4348,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
dedupeSourceHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4354,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
isPriorityValue_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4358,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
isStatusValue_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4360,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
isQueueTypeValue_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4361,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
isLibraryRecordType_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4362,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
legacyQueueHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4363,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
legacyLibraryHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4369,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
readTableByHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4375,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
ensureLibraryColumn_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4391,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
setCellByHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4398,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
appendNoteByHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4407,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
setValidationByHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4416,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
colorColumnByHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4427,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
wrapHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4434,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
forceCompactRowsAndClip_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4448,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
setWidthByHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4461,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
resetFilter_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4467,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
getSheetByNameCompat_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4473,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
makeRunId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4478,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
baseResult_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4483,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
errorDetails_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4487,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
parseErrorCode_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4491,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
logResult_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4498,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
asString_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4502,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
isBlankRow_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,4508,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_PromptDraftApplyApprovedToLibrary,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4520,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_PromptLibraryForceRepairLineageSafe,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4538,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_PromptLibraryRestoreOriginalReferencesSafe,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4680,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_ensurePromptLibraryHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4683,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_readTable_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4705,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_readRuntimePromptRecords_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4722,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_cell_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4763,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_get_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4769,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_set_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4775,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_findReferenceRow_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4781,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_appendBlankRow_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4798,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_appendRecoveredVariant_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4805,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_renameExistingVariantPromptIds_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4841,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_buildCanonicalPrompt_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4879,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_promptFamily_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4941,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_gemProfile_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4950,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_promptMission_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4959,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_contractIdForPrompt_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4968,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_basePromptId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4977,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_buildVariantPromptId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4983,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_safeId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4987,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_normalize_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4995,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_dateKey_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,4999,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_makeRunId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5003,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_errorCode_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5007,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2S_formatLibrary_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5014,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_recalculatePromptLibrary_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5047,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_recalculatePromptQueue_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5106,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_runtimeDisplayName_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5140,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_cleanupDecision_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5171,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_formatPromptLibrary_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5188,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_formatQueue_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5212,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_buildRuntimeLookups_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5229,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_enrichLookupsFromJournal_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5253,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_journalNamesById_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5258,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_readTable_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5271,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_ensureHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5286,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_reorderHeaders_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5295,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_map_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5316,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_get_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5322,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_set_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5326,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_setWidths_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5331,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_colorHeader_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5337,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_colorStatus_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5343,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_resetFilter_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5356,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_unique_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5361,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_makeRunId_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5366,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2U_errorCode_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5370,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_PromptFinalDataCleanupResetSafe,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5388,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_PromptLibraryCleanupCandidatesStatus,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5409,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_PromptQueueCleanupCandidatesStatus,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5423,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2V_rebuildPromptLibrary_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5437,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
addObj,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,5475,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_readRuntimePromptRecords_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5561,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
cell,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,INTERNAL,5568,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_buildReferenceFromRuntimeRecord_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5602,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_seedCoreAndProfileRows_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5658,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_profileRow_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5697,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_normalizeVariant_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5732,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_convertCorruptedBaseToVariant_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5758,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_promptNum_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5770,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_defaultGemProfile_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5781,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
MVPQAIC_P2X_promptFamily_,mvpqaic_11_p1_prompt_quality_core.js,PROMPT_ENGINE,PUBLIC,5792,PROMPT_OR_AI,P0,mvp_qaic_py.prompt_engine,READONLY_PORT_FIRST
